cond	sd
2 h	0.180138869739191
2 h	0.214281471518976
2 h	0.177204201490444
2 h	0.17030247037063
2 h	0.168535398439517
2 h	0.197347810758388
2 h	0.151523697706267
2 h	0.215289968202027
2 h	0.178299541027045
2 h	0.216723577474848
2 h	0.150571052897482
2 h	0.171397119202044
2 h	0.129562156590546
2 h	0.120841749957305
2 h	0.179836192482673
2 h	0.150829479882003
2 h	0.154262349824259
2 h	0.185383982040385
2 h	0.186384268005165
2 h	0.116460095498488
2 h	0.200557335714966
2 h	0.131753538394816
2 h	0.151619126031566
2 h	0.139447364674194
2 h	0.190233765982629
2 h	0.198026738065363
2 h	0.158915060573299
2 h	0.16846389774939
2 h	0.187832698312936
2 h	0.129226186924064
2 h	0.102061477060344
2 h	0.19527883615856
2 h	0.137525772381999
2 h	0.143449529686203
2 h	0.178131417441993
2 h	0.0842407005626072
2 h	0.168526831980465
2 h	0.153954401585742
2 h	0.136022671245752
2 h	0.204848254244962
2 h	0.130449764359574
2 h	0.126150833354516
2 h	0.105733887352188
2 h	0.161894876326627
2 h	0.164783121746432
2 h	0.200935369015344
2 h	0.090843781187458
2 h	0.16329611181872
2 h	0.186495386296598
2 h	0.148588232918378
2 h	0.196030515929162
2 h	0.147882625044865
2 h	0.181482354730825
2 h	0.204645230377208
2 h	0.190513887502988
2 h	0.188289881681125
2 h	0.15816577073313
2 h	0.103925297738937
2 h	0.200349419362633
2 h	0.137248116727794
2 h	0.132480320194356
2 h	0.182214642449476
2 h	0.108096256656577
2 h	0.19812942090304
2 h	0.172218301596484
2 h	0.200658780891585
2 h	0.14638516504777
2 h	0.190097536540638
2 h	0.181821478610055
2 h	0.167257042777668
2 h	0.183477362961597
2 h	0.176863593875422
2 h	0.161935625414692
2 h	0.115718383349299
2 h	0.179271062436156
2 h	0.214461996634672
2 h	0.163230142673275
2 h	0.148872935391745
2 h	0.0776038502638202
2 h	0.169565948883599
2 h	0.186397063978871
2 h	0.151488210286645
2 h	0.13342852857252
2 h	0.138812073387108
2 h	0.198102524299587
2 h	0.148713794697018
2 h	0.104060160383556
2 h	0.190157322351184
2 h	0.147683231608759
2 h	0.168462702593501
2 h	0.140296316480241
2 h	0.167659760625562
2 h	0.134889579474332
2 h	0.146536676279732
2 h	0.175502178691866
2 h	0.135758645450943
2 h	0.17961744528479
2 h	0.203388845061984
2 h	0.0883177750088552
2 h	0.157784805365454
2 h	0.171295837083809
2 h	0.201558208815799
2 h	0.159081256798231
2 h	0.204823535311721
2 h	0.143959947941342
2 h	0.160702538370124
2 h	0.145129308227389
2 h	0.195460532491324
2 h	0.218891742004403
2 h	0.134486502922769
2 h	0.197022035531035
2 h	0.18972927100307
2 h	0.203453001446377
2 h	0.166343347604579
2 h	0.141140988111161
2 h	0.21528186878127
2 h	0.190287137618926
1 h	0.206591462035642
1 h	0.0784881863636366
1 h	0.164492726692178
1 h	0.169858438739306
1 h	0.17528096154852
