comp	GPSeq
A2	0.293287339905269
B3	0.36116622921403
A2	0.40694638412207
A2	0.287064494285023
A2	0.318282883740539
A2	0.451637862993462
A2	0.555721499930934
A2	0.411287412703012
A2	0.48382555557726
A2	0.404913924409605
A2	0.493727588018839
A2	0.386153657807494
B3	0.457917821912265
A2	0.424046917851744
B3	0.36200016324552
B3	0.383865856224068
A2	0.338417803468023
A2	0.465854215298059
A2	0.292976843685161
B3	0.245262040612781
B3	0.384141476809967
B3	0.319505745443706
B3	0.173229172430773
B3	0.278111171734186
B3	0.439703603376574
B3	0.321565947382183
A2	0.18164188732457
B3	0.300156189409605
B3	0.218258721469084
B3	0.273024473762504
B3	0.321376233615401
B3	0.279896312060295
B3	0.157719857661414
B3	0.264560430618323
A2	0.234668724709138
A2	0.285194807502518
A2	0.361563928502597
A2	0.391233984729059
A2	0.514454481460488
A2	0.212672995509732
A2	0.297696421939966
B3	0.231399651466261
B3	0.335418074413914
A2	0.361594279960509
A2	0.231227687366003
B3	0.300369079329045
B3	0.21183138065067
B3	0.361445736854888
B3	0.282606912838177
B3	0.33298178561354
B3	0.103161297131724
B3	0.349205156788394
B3	0.300945143159143
A2	0.259230787328198
A2	0.127988010423238
A2	0.287773399751504
B3	0.26207682502936
B3	0.179912552054598
B3	0.289758485549125
B3	0.37851702574791
B3	0.283858165438486
B3	0.208618875449139
B3	0.298784658725525
B3	0.339524974963279
A2	0.25993420954565
B3	0.275746513389808
B3	0.229738499142623
B3	0.424964685397076
B3	0.205760653666097
B3	0.256457354630824
B3	0.325704416880148
B3	0.366942030377851
B3	0.303190918531324
B3	0.242828765926391
B3	0.291555483063315
B3	0.301159062474136
B3	0.363522282788002
B3	0.376715297801082
B3	0.325608670470702
B3	0.248650230926735
B3	0.414030188997535
B3	0.18642013245732
B3	0.359800179756693
B3	0.325686334711416
B3	0.233833715287911
B3	0.295869997027732
B3	0.333708292737489
B3	0.339423749016603
B3	0.30095596363756
B3	0.271404601161276
B3	0.313826067657198
A2	0.299031549977924
A2	0.268348170322048
B3	0.300688507556627
B3	0.358977969118956
B3	0.295757470831898
B3	0.433698392537378
B3	0.372220297086983
B3	0.280529764875475
B3	0.337598319831984
B3	0.293988450065704
B3	0.442520587087488
B3	0.328415365742665
B3	0.222525860898479
B3	0.360056641875081
B3	0.350103248119383
B3	0.353705763732278
B3	0.406402493326728
B3	0.254513132333332
B3	0.391578994787359
A2	0.383947519364716
A2	0.398700334440271
A2	0.397703677456247
A2	0.418258667091649
A2	0.405922419473449
A2	0.379574448317452
B3	0.436934913422996
B3	0.325093060594606
B3	0.304865720649017
B3	0.252962638361122
B3	0.415877846909722
B3	0.369157129325847
B3	0.328062654017231
B3	0.530798755601695
B3	0.355917171593579
B3	0.479761969923067
B3	0.344501114127815
B3	0.462746834177908
B3	0.426415630998651
B3	0.308802745233815
B3	0.329928495958675
B3	0.284272935324971
B3	0.313915483865884
B3	0.334598507626935
B3	0.32054856470316
B3	0.408932560277448
B3	0.57355839417316
B3	0.371749006174392
B3	0.368060321369696
B3	0.303844385702672
B3	0.538816411260306
B3	0.542713651453883
B3	0.263523727135001
B3	0.33999115012427
B3	0.299561827011199
A2	0.214663051648653
A2	0.275509172549209
A2	0.355271629028278
B3	0.340198098120575
A2	0.306297133490044
A2	0.283499903483412
A2	0.270853696017143
A2	0.475750561872485
A2	0.37191186123886
A2	0.43770079447443
B3	0.27665806402691
B3	0.39088564332292
B3	0.332423048972014
B3	0.295304692907141
B3	0.25293359839274
B3	0.248699161907436
B3	0.334599790521263
B3	0.361707019584751
A2	0.395347078650876
B3	0.454631984247719
B3	0.378671159480734
B3	0.568057929532147
A2	0.831390721321999
B3	1
B3	0.424838787664949
B3	0.314741355279793
B3	0.323152675254421
B3	0.282081110369511
B3	0.368534907877844
A2	0.546559119532389
B3	0.410529727268346
A2	0.368936506471262
B3	0.356247169985801
A2	0.409041497948827
A2	0.365288590769717
A2	0.413932074260269
A2	0.323155420105534
A2	0.486591312552266
A2	0.451691273890457
A2	0.411812104507363
A2	0.529044881951152
A2	0.334247269546002
A2	0.42936774055966
A2	0.288525130538643
A2	0.39762003964019
A2	0.456219594290814
A2	0.49546257298176
A2	0.275265558002168
A2	0.38971920636327
A2	0.347270159692324
A2	0.398163991485482
