cond	dln
6 h	0.581948131861228
6 h	0.611023719056474
6 h	0.658241938809711
6 h	0.513237995508606
6 h	0.639847097201021
6 h	0.531907053836068
6 h	0.539442870408449
6 h	0.730364801203083
6 h	0.51200086846397
6 h	0.680416183752251
6 h	0.584707916180041
6 h	0.565206711506715
6 h	0.507294164250126
6 h	0.53389824555407
6 h	0.676833372803358
6 h	0.668880299628373
6 h	0.614586090851019
6 h	0.60766095164634
6 h	0.578749528447778
6 h	0.642443944756848
6 h	0.570094680239154
6 h	0.514803002957721
6 h	0.579405549279406
6 h	0.52963487247962
6 h	0.515441550843401
6 h	0.538115547414614
6 h	0.584648121873133
6 h	0.563400820526134
6 h	0.609015342109286
6 h	0.504799533786385
6 h	0.55993896484375
6 h	0.560239532488536
6 h	0.554455901547657
6 h	0.524190192164197
6 h	0.501317679361539
6 h	0.652401861088174
6 h	0.706833803423581
6 h	0.542504804891449
6 h	0.73817632063869
6 h	0.533722406072867
6 h	0.59495627217152
6 h	0.571034023316467
6 h	0.552095906960307
6 h	0.557006052904046
6 h	0.598019128681155
6 h	0.644233212905556
6 h	0.687644977298404
6 h	0.568694028198955
6 h	0.6914858621126
6 h	0.699889480876787
6 h	0.569847075858054
6 h	0.662156976258709
6 h	0.638609368920173
6 h	0.543346067071296
6 h	0.620333471437291
6 h	0.505203228977438
6 h	0.689172821844801
6 h	0.598751456055549
2 h	0.627805717245664
2 h	0.624074163600374
2 h	0.584743680275776
2 h	0.602336578395683
2 h	0.593548082370104
